codice,anno,lunghezza,duso,dtipologia2,nomequart,geo_point_2d,zona_fiu,length,tipologia2,geometry
2043,Precedente 31/12/2021,105.0,Ciclabile,sede propria,Santo Stefano,"{ ""lon"": 11.3570600691484, ""lat"": 44.494276438918099 }",IRNERIO,1.540734771444748,Ciclabile,"LINESTRING (11.3570591250596 44.4942833385394, 11.3570610132372 44.4942695392968)"
629,Precedente 31/12/2021,172.0,Ciclabile,sede propria,Savena,"{ ""lon"": 11.374974675798249, ""lat"": 44.468711058767596 }",VIA TOSCANA - S. RUFFILLO - MONTE DONATO,172.30912411278544,Ciclabile,"LINESTRING (11.3747008732712 44.4679609398148, 11.3752484783253 44.4694611777204)"
1966,Precedente 31/12/2021,38.0,Pedonale-Ciclabile,ciclabile contigua al pedonale,San Donato - San Vitale,"{ ""lon"": 11.35846142137525, ""lat"": 44.510539686680303 }",SAN DONATO VECCHIO,38.194348875982584,Pedonale-Ciclabile,"LINESTRING (11.3582224048755 44.5105565100395, 11.358700437875 44.5105228633211)"
751,Precedente 31/12/2021,544.0,Pedonale-Ciclabile,ciclabile contigua al pedonale,Borgo Panigale - Reno,"{ ""lon"": 11.286746944904623, ""lat"": 44.506073540431238 }",CASTELDEBOLE - PONTELUNGO,544.3259782744134,Pedonale-Ciclabile,"LINESTRING (11.2835911091638 44.5070214846062, 11.2893663657802 44.5052866859722, 11.2899029023812 44.5051260021314)"
992,Precedente 31/12/2021,115.0,Pedonale-Ciclabile,ciclabile contigua al pedonale,San Donato - San Vitale,"{ ""lon"": 11.37730008454105, ""lat"": 44.486610530281197 }",CIRENAICA - MASSARENTI - SCANDELLARA,0.576199506975198,Pedonale-Ciclabile,"LINESTRING (11.3772965084845 44.4866109406881, 11.3773036605976 44.4866101198743)"
2251,2022,117.0,Itinerario ciclabile,corsia ciclabile su strada,Porto - Saragozza,"{ ""lon"": 11.311734037214205, ""lat"": 44.490580725474011 }",SARAGOZZA - SAN LUCA,116.70900947832419,Itinerario ciclabile,"LINESTRING (11.3115022617324 44.4900925068255, 11.3115154914438 44.490306805463, 11.3116365878462 44.490481454198, 11.3117298776958 44.4905544917298, 11.3120396650725 44.4910488688639)"
504,Precedente 31/12/2021,137.0,Itinerario ciclabile,promiscuo veicolare,Borgo Panigale - Reno,"{ ""lon"": 11.269548337470493, ""lat"": 44.502752764286818 }",BORGO PANIGALE,136.79221979781127,Itinerario ciclabile,"LINESTRING (11.270320464278 44.5024723681788, 11.2702124933022 44.502522478847, 11.2698084226309 44.5026715105781, 11.2694613202534 44.5028020283029, 11.2692221651114 44.5028730220725, 11.268941652163 44.5029379611342, 11.2687584201524 44.5029765517801)"
1965,Precedente 31/12/2021,107.0,Pedonale-Ciclabile,ciclabile contigua al pedonale,San Donato - San Vitale,"{ ""lon"": 11.356880064047219, ""lat"": 44.510631792903034 }",SAN DONATO VECCHIO,7.9403176913e-05,Pedonale-Ciclabile,"LINESTRING (11.35688006354837 44.510631792918154, 11.356880064546068 44.510631792887914)"
1965,Precedente 31/12/2021,107.0,Pedonale-Ciclabile,ciclabile contigua al pedonale,San Donato - San Vitale,"{ ""lon"": 11.356880414033922, ""lat"": 44.510631782295079 }",SAN DONATO VECCHIO,0.055721019385787,Pedonale-Ciclabile,"LINESTRING (11.356880063967742 44.51063179290544, 11.3568807641001 44.5106317716847)"
1924,Precedente 31/12/2021,404.0,Ciclabile,corsia preferenziale bus/bici,Santo Stefano,"{ ""lon"": 11.345328318703872, ""lat"": 44.504416077328294 }",IRNERIO,66.41067457322737,Ciclabile,"LINESTRING (11.345413617372627 44.504708593906926, 11.3454132461663 44.504707344201, 11.345243026300489 44.504123558905725)"
1891,Precedente 31/12/2021,129.0,Ciclabile,sede propria,San Donato - San Vitale,"{ ""lon"": 11.357896081807896, ""lat"": 44.509853481548916 }",SAN DONATO VECCHIO,129.05937133006816,Ciclabile,"LINESTRING (11.358343506306 44.5093702870194, 11.3581698764094 44.5095627344387, 11.3580135298094 44.5097292922437, 11.3577629969737 44.5099864632606, 11.3574539850438 44.5103414400362)"
880,Precedente 31/12/2021,121.0,Pedonale-Ciclabile,ciclabile contigua al pedonale,Navile,"{ ""lon"": 11.341103029723548, ""lat"": 44.51122991145705 }",BOLOGNINA,120.62821749709649,Pedonale-Ciclabile,"LINESTRING (11.3412473852779 44.5117627645311, 11.3409586741692 44.510697058383)"
1811,Precedente 31/12/2021,77.0,Ciclabile,sede propria,Santo Stefano,"{ ""lon"": 11.35781531640961, ""lat"": 44.487377468085555 }",GALVANI,0.804364455985371,Ciclabile,"LINESTRING (11.357810309692384 44.48737696435864, 11.357820323126838 44.487377971812464)"
1811,Precedente 31/12/2021,77.0,Ciclabile,sede propria,Santo Stefano,"{ ""lon"": 11.357820328663749, ""lat"": 44.487377972369522 }",MURRI,0.000871492368582,Ciclabile,"LINESTRING (11.3578203232392 44.48737797182377, 11.3578203340883 44.4873779729153)"
1811,Precedente 31/12/2021,77.0,Ciclabile,sede propria,Santo Stefano,"{ ""lon"": 11.357820323183018, ""lat"": 44.48737797181812 }",GALVANI,9.025941786e-06,Ciclabile,"LINESTRING (11.357820323126838 44.487377971812464, 11.3578203232392 44.48737797182377)"
1805,Precedente 31/12/2021,57.0,Ciclabile,corsia preferenziale bus/bici,Savena,"{ ""lon"": 11.373592597558053, ""lat"": 44.4683832146507 }",VIA TOSCANA - S. RUFFILLO - MONTE DONATO,11.682018696080519,Ciclabile,"LINESTRING (11.3735761372692 44.4683319890299, 11.3736090578469 44.4684344402715)"
1682,Precedente 31/12/2021,594.0,Pedonale-Ciclabile,ciclabile contigua al pedonale,Santo Stefano,"{ ""lon"": 11.356250577057446, ""lat"": 44.500965679094001 }",IRNERIO,1.178798233476526,Pedonale-Ciclabile,"MULTILINESTRING ((11.356229044008023 44.500952850601706, 11.3562383244464 44.5009581298261), (11.3563184072004 44.5010052430541, 11.356316003894927 44.50100648884137))"
546,Precedente 31/12/2021,81.0,Pedonale-Ciclabile,ciclabile contigua al pedonale,Navile,"{ ""lon"": 11.342294954917943, ""lat"": 44.51641789691822 }",BOLOGNINA,80.85023336547775,Pedonale-Ciclabile,"LINESTRING (11.3422176169316 44.516775953661, 11.3422761906617 44.5165639249623, 11.3423337732762 44.5162079510185, 11.3423468208371 44.5160551382977)"
1492,Precedente 31/12/2021,51.0,Pedonale-Ciclabile,area pedonale,Porto - Saragozza,"{ ""lon"": 11.342718104887853, ""lat"": 44.495418187023077 }",MALPIGHI,0.717147082879773,Pedonale-Ciclabile,"LINESTRING (11.3427225192856 44.495417531757, 11.342713690490106 44.49541884228915)"
377,Precedente 31/12/2021,286.0,Percorso naturalistico,sterrato,Borgo Panigale - Reno,"{ ""lon"": 11.303862971585115, ""lat"": 44.498176450613379 }",BARCA,286.48440261396087,Percorso naturalistico,"LINESTRING (11.304600696608 44.499342071007, 11.3045591790411 44.4993241743196, 11.3043305686715 44.4989407303735, 11.3031394554113 44.4969925642888)"
1177,Precedente 31/12/2021,394.0,Percorso naturalistico,sterrato,Navile,"{ ""lon"": 11.331972406133129, ""lat"": 44.510959743917638 }",BOLOGNINA,393.5877030376494,Percorso naturalistico,"LINESTRING (11.3326032633827 44.5094391048381, 11.3325346438244 44.5095111215011, 11.3324523338591 44.5096268461521, 11.3323755044354 44.5096983972707, 11.3322492475021 44.5098020610742, 11.3321935122914 44.5098576295717, 11.3318158716268 44.5103785374111, 11.3316087461825 44.5106341812218, 11.3314269534855 44.5108893069833, 11.3313719397282 44.5109630033164, 11.3313679047762 44.5110434333469, 11.3313905478577 44.5111570121554, 11.3314403856461 44.5113166886864, 11.3315055348519 44.5114967901396, 11.3315844370902 44.511658467086, 11.3316673706921 44.5117397125531, 11.3317715023609 44.5118075649278, 11.3318780117939 44.5118442657715, 11.3320090281421 44.511859730203, 11.332414381359 44.5118514411771, 11.3325923441379 44.5118633528845, 11.3327487986345 44.5118808880002, 11.3328912933494 44.5119116677831, 11.3329490975131 44.5119078934864)"
888,Precedente 31/12/2021,297.0,Pedonale-Ciclabile,ciclabile contigua al pedonale,Navile,"{ ""lon"": 11.344577374259279, ""lat"": 44.523224054286921 }",BOLOGNINA,0.000152264386771,Pedonale-Ciclabile,"LINESTRING (11.344577374848988 44.52322405482674, 11.344577373669575 44.523224053747114)"
1930,Precedente 31/12/2021,247.0,Ciclabile,sede propria,Navile,"{ ""lon"": 11.34607981620111, ""lat"": 44.530892501781317 }",CORTICELLA - DOZZA,246.77632747191785,Ciclabile,"LINESTRING (11.3472843296515 44.5305280054216, 11.3471508895486 44.5305215947509, 11.3467651878647 44.5305614470008, 11.3467927618158 44.530713878472, 11.3468227540992 44.5308203675841, 11.3468111020127 44.5308496673657, 11.3467778208304 44.5308732797389, 11.3458646801043 44.5309907029355, 11.3446857989081 44.5311398208966)"
